bangla,classes
আসাদুজ্জামান নূর এর মত স্বামীকে মাইরা ফালান দরকার  কুলাঙ্গার  স্বামীর দায়িত্ব সব স্ত্রী করতেছে  এরপরও কি ভাব  আবার টাকা চুরি করার কথা বলছে দেখে দেশান্তরী হবে সয়তান  ,anger
আসিফ উল্টো অনেক বেশি রেগে যায়  সে পাগলটাকে ধাক্কা মারতে মারতে কবরস্হান থেকে বের করে দেয়  আর বলে এতোটাই কী খারাপ পরিস্হিতীতে পড়েছি নাকি যে শেষ পর্যন্ত একটা পাগলের উপদেশ আমাদের শুনতে হবে  ,anger
আসিফ যখন কবরে নেমে তার বাবার লাশটা মাটিতে রাখে তখন এক অন্যরকম গায়ে শিহরণ আনা অদ্ভুত অনুভূতি তাকে গ্রাস করতে থাকে ,fear
আসিফুল  ইসলাম  ওই বলদগুলো থেকে আমাদের জুনিয়রগুলো অনেক ভালো আজকে ফাইনাল খেলার যে টেম্পারমেন্ট দেখাতে হয় তার সবই দেখাচ্ছে ,joy
আসিফুল  ইসলাম  ভাই আমরা যারা পাড়ার ক্রিকেট খেলি তারাও এই বল ছেড়ে দিত তার উপর হ্যাট্রিক বল এদের এই কমন্সেস ও নাই আরো নাকি সিনিয়র প্লেয়ার ,disgust
আসুন সবাই আল্লাহর পথে চলি  আল্লাহ যা করে সব ভালোর জন্যই করে  হয়তোবা আল্লাহ আমাদের জন্য অনেক বড় উপহার রেখে দিয়েছেন,joy
আসে পাশের লোকজন   আত্মীয়স্বজন ডাক্তার ও ছেলের বাবা সবাই এক মুহুরতের জন্য বাকরুদ্ধ হয়ে গেলেন     ভয়ে সবার শরীর কেপে উঠল   ,fear
আস্তে আস্তে আমি মামাবাড়ি থেকে ফিরে আসি  কিন্তু সেই স্মৃতি আমাকে এখনো ভয় পাওয়ায় ,fear
আস্তে আস্তে  উফফ  মায়ের মতো বকতেছো দেখি  তোমার মেয়েটা তোমার মতোই আইলসা হইছে ,disgust
আস্তে করে উঠে দাড়ালাম তবে এবার বেগতিক ভাবে চিৎকার করছি সাথে কাঁদছি  সাদা কাপর সরে গেছে তবে ভিতরে আরও ধবধবে সাদা রঙ এর মানূষ ,fear
আহা কি আনন্দ আকাশে বাতাসে,joy
আহা মন্দিরাটা ভাল লাগলো   খুব ভাল বাজিয়েছেন  আর আসির দা তোমারতো তুলনা নেই,joy
আহারে তাইওয়ান গরীব দেশ হয়ে এত সুন্দর করে করোনাকে হার মানায় আর বাংলাদেশ সিংগাপুর হয়েও করোনার কাছে পুন মারা খায় নাস্তিক হাসিনার অবৈধ সরকারের হারামখোরেরা ,anger
আহাহা উন্নয়নের রোল মডেল  চোরের রোল মডেল কুত্তার বাচ্চারা ,anger
আহ্লাদে ঘরে আছেন  বাসায় বসে  বোরড  হচ্ছেন বলে অনেক দুঃখ  যান না  দেশ ও দশের পুটকি মারতে ও মারা খাইতে বাইরে যান ,anger
ই প্রথম কোন ফুড ব্লগার বানিজ্য মেলার খাবার নিয়ে যে ডাকাতি করে  দেখাইলো  এগিয়ে যান ফাহিম ভাই ভাই আপনার ভিডিও টা এই প্রথম দেখলাম খুব ভালো লাগলো তাই সাবস্ক্রাইব করলাম ,joy
ই হিরো আলম পুরো বিশ্বের সামনে বাংলাদেশকে একটা কমেডি সেন্টারে পরিণত করেছে,disgust
ইঁদুরের যম হচ্ছে বিড়াল  তারা ইঁদুর তাড়ায়  ধরে ধরে খায় ,fear
ইংরেজির কাছে বাংলাদেশের সুপারস্টার শাকিব খানের এমন অসহায় আত্মসমার্পণের ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে  সেই ভিডিও তারা শেয়ার করে বলছেন  শাকিব খান বাংলাদেশকে লজ্জায় ফেলে দিয়েছে  চলচ্চিত্রের বিভিন্ন গ্রুপগুলোতে কেউ কেউ তাকে কাঠগড়ায় দাঁড় করাচ্ছেন তবে এর বিপরীত চিত্রও আছে  অনেক শাকিবভক্তরা মনে করছেন  আবুধাবিতে  টি টেন  লীগের উদ্বোধনীতে শাকিব খানের অংশগ্রহণ বাংলাদেশের জন্য গর্বের ,disgust
ইংলিশে অর্নাস মাষ্টার্স করা লোকের আবার চাকরির অভাব হয়  হয়তবা বেশি বেতনের চাকরি পায় না  হয়তবা সরকারি চাকরি পায় না  টিওশনির ও অভাব হয় না বুঝলেন ভাই  যতসব ফালতু কাহিনি  যা তা একটা কাহিনি হলেই হলো না ,disgust
ইংলিশে অর্নাস মাষ্টার্স করা লোকের আবার চাকরির অভাব হয় হয়তবা বেশি বেতনের চাকরি পায় না  হয়ত বা সরকারি চাকরি পায় না টিওশনির ও অভাব হয় না বুঝলেন ভাই শালার জতসব ফালতু কাহিনি  যা তা একটা কাহিনি হলেই হলো না ,surprise
ইংল্যান্ডে আগামী বছরের জুলাই থেকে শুরু হচ্ছে নতুন সংস্করণের ক্রিকেট টুর্নামেন্টে  দ্য হানড্রেড    বলের এ টুর্নামেন্টে বিদেশি খেলোয়াড়দের ড্রাফট তালিকায় বাংলাদেশ থেকে জায়গা পেয়েছেন মোট ছয় ক্রিকেটার  সাকিব আল হাসান ও তামিম ইকবাল রয়েছেন একই ভিত্তি মূল্য ক্যাটাগরিতে,joy
ইংল্যান্ডের দক্ষিণ–পশ্চিমাঞ্চলীয় ডরসেট শহরের বাসিন্দা বাটার   বছর বয়সী এই তরুণ জাতিসংঘ স্বীকৃত  দেশে পা রেখেছেন  অংশ নিয়েছেন ম্যারাথনে   নভেম্বর গ্রিসের অথেনটিক এথেন্স ম্যারাথনে অংশ নিয়ে তিনি বিশ্বের প্রথম ব্যক্তি হিসেবে এই কীর্তি গড়েন,surprise
ইইউর সঙ্গে ভিয়েতনামের মুক্তবাণিজ্য চুক্তিতে দুশ্চিন্তা বাংলাদেশে,fear
ইউক্রেনের যাত্রীবাহী বিমান বিধ্বস্ত হয়ে  আরোহীর সবাই নিহত হওয়ার ঘটনায় গতকাল সোমবারও ইরানে সরকারের বিরুদ্ধে বিক্ষোভে অংশ নিয়েছেন বহু মানুষ  রাজধানী তেহরান ছাড়াও অন্যান্য শহরে অনুষ্ঠিত এই বিক্ষোভে ইরানের নেতৃত্বের বিরুদ্ধে স্লোগান দেন অংশগ্রহণকারীরা,disgust
ইউটিউব এ তাড়াতাড়ি হাহা রিয়েক্ট চালু করেন হাসতে হাসতে আমার অবস্থা খারাপ কিন্তু হাহা রিয়েক্ট দিতে পারছিনা ,joy
ইউটিউব এ বোমা ফাটাইয়া কি লাভ 🤭🤭 বোমা ফাটাইয়া কি বাল ফালাইলো,anger
ইউনূসের জীবন বদলে দেওয়ার পেছনে ছিল ইন্টারন্যাশনাল কমিটি অব দ্য রেডক্রসের  আইসিআরসি  অবদানও  বৃহত্তর চট্টগ্রাম তো বটেই  দেশের বিভিন্ন প্রান্ত থেকেও এই সেন্টারে প্রতিদিনই অনেকে আসছেন কৃত্রিম পা সংযোজনের জন্য  আর ফিরছেন পা নিয়েই ,joy
ইউনেসকোর ঢাকা দপ্তর এবং এর অংশীজনেরা মিলে  কালারস অব বাংলাদেশ  শিরোনামে আলোকচিত্র প্রতিযোগিতা এবং প্রদর্শনীর আয়োজন করেছে  শুক্রবার সকালে বাংলাদেশ জাতীয় জাদুঘরে এই আয়োজনের উদ্বোধন করা হয়,joy
ইউরোপ থেকে বেশি মানুষ মারা যাবে বাংলাদেশে  কারণ  বেশি অসচেতনতা এবং দুর্বল চিকিৎসা স্বাস্থ্যব্যবস্থায়,fear
ইকুইপমেন্ট দিতে পারে না অথচ  করোনা মোকাবেলায় বাংলাদেশ সক্ষম  বলতে লজ্জাটাও লাগে না কারও  ,disgust
ইচ্ছা করছে একটা কঠিন ঝগড়া করি কিন্তু করছি না কারন নতুন বউয়ের ঝগড়া করতে নেই তাই ,anger
ইচ্ছা করতেছে মন্ত্রী  এমপি  প্রধানমন্ত্রী সব গুলারে ধইরা থাপ্রাই  ,anger
"ইচ্ছেপূরণ ভয়ের চেহারাটা নাগকেশরের ফুল হয়ে ফুটল 
আর বাজারি হিসেবে সুদক্ষ আমি",fear
ইজ্জত নাই ভিনদেশি একটা লোক তার জন্য এই ব্যবস্থা  থু দিবে অন্য কোন দেশে দেখলে  লজ্জা লাগে নিজের দেশের জন্য,anger
ইট আর সিমেন্ট এর দেয়ালে মানুষের এক চিলতে ভালোবাসা আমাদের বাঁচতে শেখায়  বাঁচাতে  শেখায়  আল্লাহর কাছে প্রার্থনা করি যেন সুখে থাকো  ভালো আর সুস্থ থাকো ,joy
ইট পাথরের ঢাকা ছেড়ে প্রকৃতির কাছাকাছি গিয়ে আমরা বেশ মজা করেছি এই দু দিনে  আর খালাআম্মাকে বেশ বিরক্ত করেছি  সব মিলিয়ে বাঁশবাগান ছাড়া বাকী সবাই খুবই মধুর ছিলো ,joy
ইটালিতে গতকাল করোনায় মারা গেছে  জন  অ্যামেরিকায়  জন  স্পেনে আজ মারা গেছে  জন ,sadness
ইতালি থেকে কয়েকশ বাংলাদেশী কে দেশে আনার জন্য কিছু মানুষের সে কি মায়া কান্না এখন ঠেলা বোঝ ,disgust
ইতালিফেরত এক যুবকের ক্ষোভ নিয়ে বিভক্ত হয়ে পড়েছিল বাংলাদেশ  তিনিসহ আরও অনেক বাংলাদেশি যাত্রী প্রায়  ঘণ্টা ভ্রমণ করে দেশে এসেছিলেন  আরও কয়েক ঘণ্টা আনুষ্ঠানিকতার পর তাঁদের নেওয়া হয় আশকোনা হজ ক্যাম্পে  করোনা সন্দেহে তাঁদের কোয়ারেন্টিন করার কথা বলা হয় সেখানে  অনেকেই ক্ষিপ্ত হয়ে ওঠেন এতে ,anger
ইতিমধ্যে মোট মৃত্যুর সংখ্যার হিসাবে সার্সকে ছাড়িয়ে গেছে করোনাভাইরাস    সালে মহামারি আকারে দেখা দেওয়া সিভিয়ার অ্যাকিউট রেসপিরেটরি সিনড্রোম বা সার্সে  জন মারা গিয়েছিলেন,fear
ইতিহাস থেকে যতটুকু জানা যায় যে  প্রবল জাতীয়তাবাদ এবং আধিপত্যবাদের কারণে এ পৃথিবীতে যতো মানুষ প্রাণ হারিয়েছে  ধর্মীয় হিংস্রতার কারণে ততো হারায়নি  একমাত্র প্রথম ও দ্বিতীয় বিশ্বযুদ্ধের সময়ে কোটি কোটি মানুষকে হত্যা করা হয়েছে  তার পেছনের কারণ উগ্র জাতীয়তাবাদ ও প্রবল আধিপত্যবাদ ,anger
ইতিহাসের যেসব ভয়ংকর দিনের কথা শুনেছি সেগুলো কি আমরা এবার দেখতে চলছি আল্লাহ্ একটু করুনা করুন  রক্ষা করুন সবাইকে ,fear
ইতোমধ্যেই বাজারে রোপা আমনে মৌসুমের ধান ওঠা শুরু করেছে  এসব কাঁচা ধানই বাজারে প্রতিমণ শ থেকে  হাজার টাকার ওপরে বিক্রি হচ্ছে  ধানের এমন দাম তাদের মতো কৃষকদের ব্যাপক আশাবাদী করে তুলেছে বলে মন্তব্য এসব কৃষকদের ,joy
ইনশাআল্লাহ মিথ্যায় নোবেল পাওয়ার উপযুক্ত ,disgust
ইনাদের শুয়োরের বাচ্চা বলা হইলে শুয়োরের মত বুদ্ধিমান এবং নিরীহ প্রাণীর জন্য অপমান হয়  ব্যাকটেরিয়া বা গুয়ের পোকা বলা হইলে ব্যাকটেরিয়া এবং গুয়ের পোকাদের এবং গুয়েরও অপমান হয় ,disgust
ইনি যে এত বড় ব্যক্তিত্ব  অর্থনীতির বর্তমান দিকপালদের একজন  এটা পুরো সেমেস্টারে তাঁর পাশের সীটে বসে ক্লাস করেও বুঝতে পারিনি জানিও নি যে অমর্ত্য সেনের সাথে সাথে আরেকজন নোবেল বিজয়ী একই ক্লাসে আমাদের পড়াচ্ছেন  কেউ জানানোর প্রয়োজনও বোধ করেনি ,surprise
"ইন্টারনেট না থাকলে কিভাবে জান্তাম যে দুনিয়াতে কোনায় কোনায় এইরকম মাল আই মিন জিনিশ থুক্কু  প্রাণী আছে   

এইগুলার ভুলেও বিয়ে হয়ে গেলে এইগুলোর ছেলেপুলে যখন দেখবে তখন কি হবে তা চিন্তা করতে করতে আমি শেষ  ",disgust
ইন্ডিয়া হারাতে পোলাপান যেই খুশী হইছে  বাংলাদেশ জিতলেও এতো খুশী হয় না,joy
ইন্দু নদী পার হওয়ার সময়েই মেসিডন বাহিনীর মধ্যে আবারো বিরক্তিভাব দেখা যেতে শুরু করে ,disgust
ইন্দোর টেস্ট তিন দিনও খেলতে পারেনি বাংলাদেশ  মুমিনুল হকের দল হেরেছে ইনিংস ও  রানে  ভারতীয় দলও আশা করেনি এই টেস্ট শেষ হয়ে যাবে তিন দিনেই ,sadness
ইফতেখার ফাহমি চোরের আইডির লিংক কারো কাছে আছে আমি অন্রক খুজে পাচ্ছিনা  কুত্তাটারে যদি পাই  ,anger
ইভ টিজিংয়ের প্রতিবাদ করায় বগুড়ায় বখাটেদের হামলার শিকার হন ঝাঁজর পঞ্চশক্তি উচ্চবিদ্যালয়ের সভাপতি নজরুল ইসলাম হামলার প্রতিবাদে এবং বখাটেদের বিচারের দাবিতে আজ সোমবার বগুড়ার শেরপুর উপজেলার ঝাঁজর সড়কে মানববন্ধন করেছে বিদ্যালয়ের শিক্ষক শিক্ষার্থীরা ছবি সবুজ চৌধুরী আসামি তুফানেরা প্রভাবশালী তাঁদের টাকা আছে ক্ষমতা আছে কারাগারে বসেও তাঁরা থেমে নেই তাঁরা এতই ভয়ংকর যে তাঁদের বিরুদ্ধে কথা বলার সাহস পর্যন্ত পাচ্ছেন না সাক্ষীরা,disgust
ইভলিন    ইভলিন তুমি কোথায়    আতঙ্কগ্রস্ত হয়ে মনন ইভলিন কে ডাকতে থাকল  ,fear
ইয়াসির আজমান আরও বলেন  তাঁদের দিনে প্রায়  হাজার নতুন সিম দরকার  হাতে থাকা সিম ফুরিয়ে যাওয়ার পর প্রায় চার লাখ খুচরা বিক্রেতার কাছে থাকা সিম বিক্রি হবে  সিমের দাম বেড়ে যেতে পারে  সব মিলিয়ে একটা খারাপ পরিস্থিতি আসছে ,disgust
ইয়েমেনে একটি সামরিক প্রশিক্ষণ শিবিরে ক্ষেপণাস্ত্র হামলায় কমপক্ষে  সেনার মৃত্যু হয়েছে  শনিবার দেশটির কেন্দ্রীয় প্রদেশ মারিবে এ ঘটনা ঘটে  এই হামলায় অনেকে আহত হয়েছে ,anger
ইরাকে গত কয়েকদিনে সরকারবিরোধী বিক্ষোভে নিহতের সংখ্যা বেড়ে  জনে দাঁড়িয়েছে  এর মধ্যে শুধু গতকালই রাজধানী বাগদাদের উত্তরাঞ্চলে  জন নিহত হয়েছে  পুলিশ এবং চিকিত্সাকর্মীরা এ খবর জানিয়েছেন  এদিকে দেশটিতে গত এক সপ্তাহের এ বিক্ষোভে বহু লোক হতাহত হওয়ায় অবিলম্বে এ প্রাণহানি বন্ধের আহবান জানিয়েছে জাতিসংঘ ,disgust
ইরান  কোম  রাজ্যে যেখানে মাজারের সেন্টার সেখানে ট্রেঞ্চ খুড়ছে মেশিন দিয়ে  লম্বা গর্ত  সারিতে সারিতে লাশ দাফন করবে ,sadness
ইরান নিজেদের ক্ষেপণাস্ত্রের আঘাতে ইউক্রেনের যাত্রীবাহী উড়োজাহাজ বিধ্বস্ত হওয়ায় কথা স্বীকার করার পর দেশটিতে বিক্ষোভ শুরু হয়েছে  এ ঘটনায় দায়িত্বশীল ব্যক্তিদের বিরুদ্ধে ক্ষোভ ঝাড়তে হাজারো শিক্ষার্থী তেহরানের রাস্তায় নেমে এসেছে,anger
ইরানি জেনারেল কাশেম সোলাইমানির হত্যাকে কেন্দ্র করে যুক্তরাষ্ট্রের সঙ্গে টান টান উত্তেজনার  দিন পর সংঘাত এড়ানোর পক্ষে আভাস দিয়েছে ইরান,joy
ইরানের ক্ষেপণাস্ত্রের হামলায় কয়েক ঘণ্টা পুরো বিচ্ছিন্ন হয়ে পড়েছিল ইরাকে অবস্থিত মার্কিন বিমান ঘাঁটি  উচ্চক্ষমতাসম্পন্ন যোগাযোগব্যবস্থা বিচ্ছিন্ন হয়ে সেনারা আকাশে তাদের শক্তিশালী নজরদারির নিয়ন্ত্রণ হারায়  যেন কয়েক ঘণ্টার জন্য অন্ধ হয়ে যায় তারা ,fear
ইরানের রাজধানী তেহরানে ইউক্রেনের একটি যাত্রীবাহী উড়োজাহাজকে ভুল করে ভূপাতিত করার কথা ইরান স্বীকার করার পরই দেশটির বিভিন্ন স্থানে ব্যাপক বিক্ষোভ শুরু হয় ,fear
ইলিয়াস কাঞ্চন যেদিন নিরাপদ সড়ক আন্দোলনের ঘোষণা দেন  সেই  অক্টোবর নিরাপদ সড়ক দিবস হিসেবে পালিত হয়ে আসছে  তাঁর গড়ে তোলা  নিরাপদ সড়ক চাই  এখন জাতীয় আন্দোলনে পরিণত হয়েছে ,surprise
ইশমিতা তরী  আরে মূর্খ্য মহিলা কেয়ামতের আগে পৃথিবীতে পুরুষের সংখ্যা আশংকাজনক হারে কমতে থাকবে এটা তারি আলামত,anger
"ইসকন নাকি অসাম্প্রদায়িক বইমেলায় স্টল পাইসে 
যারা দলে ভারী তাদেরকেই হাত করতে চাওয়া লোকরঞ্জনবাদী আওয়ামী লীগের চরিত্র  এটা নিয়ে নিন্দা যারা জানাবে এরকম কেউ নাই  কারণ সবাই দল ভারী করাদের দলে ",disgust
ইসমাইল ভয়ে দরজা বন্ধ করে দিলেন  এসব কী হচ্ছে  এরা কী সব পাগল হয়ে গেছে  ,fear
ইসমাইলের বাবা নতুন পাঞ্জাবি পড়ে সেই ভিড়ের মধ্যে ছুটাছুটি করছেন   ছেলে যে আমার এত বড় সম্মান নিয়ে এলো  এত মানুষ আসছে দেখতে  তাদের তো আপ্যায়ন করা লাগে ,joy
ইসরায়েলি বাহিনীর বিমান হামলায় রক্তাক্ত হলো ফিলিস্তিনের গাজা উপত্যকা  গত মঙ্গলবার থেকে গতকাল বুধবার দফায় দফায় হামলা চালায় ইসরায়েল  এতে অন্তত  ফিলিস্তিনি নিহত হয়েছেন  এর জবাবে ফিলিস্তিন থেকে ইসলায়েলে রকেট হামলা চালানো হয় ,sadness
ইসলাম বা মুসলমান আপনার শত্রু নয় কিছু কুলাঙ্গারই আপনার আমার এবং দেশের শত্রু,anger
ইসলামিক মাইন্ডের পোলাপাইনের অবস্থা কথা টা বলা উচিত হয়নাই   যারা ইসলামিক মাইন্ডের তারা পর্ণ ভিডিও দেখে না   আপনার এই কথাটা খুবি খারাপ লাগছে  ,disgust
ঈমান আমল সব নষ্ট হয়ে যাবে    ধোকাবাজ,anger
উঁচু কোন ভবনের ছাদে কোন ক্লাউন দেখে চমকে উঠি,fear
উইন্ডোজ আপডেট নাকি  জিবি  উইন্ডোজ সাইজ  জিবি  আর আপডেট নহয়ে গেলো  জিবি ,surprise
উচিত শিক্ষা হইছে  আকাম করবি ঠিক আছে  কিন্তু পর্দা ফেলতে বললি কেন   মাথাতো গরম হবেই   ,anger
উচ্চতার প্রতি বিশেষ কোন ভীতি বা ফোবিয়া আছে আমার  অনেক ভয় পাই,fear
উঠতে গিয়ে আবার বসে পড়ল সে  সামনে দাড়িয়ে এক সুন্দরী ভদ্রমহিলা   বিষ্মিত হলেও নিজেকে সামলে নিল রহমত মিয়া,surprise
উৎকণ্ঠিত বা আতঙ্কিত অবস্থার রোগীর সংখ্যা দিন দিন বাড়ছে  এই উৎকণ্ঠা বা উদ্বেগ ও বাড়ছে,fear
উত্তর সিটিতে টি ও দক্ষিণ সিটিতে টি সাধারণ ওয়ার্ড রয়েছে  এখন পর্যন্ত দুই সিটির চারটি ওয়ার্ডে বিএনপি প্রার্থীদের ওপর হামলার অভিযোগ পাওয়া গেছে  এ ছাড়া উত্তরে অন্তত টি ও দক্ষিণে টি ওয়ার্ডে বিএনপি প্রার্থীদের পোস্টার ছেঁড়া ও প্রচারণার কাজে বাধা দেওয়া হয়েছে ,anger
উত্তরা অ্যাপার্টমেন্ট প্রকল্পের  হাজার  ফ্ল্যাট নম্বর  আইডি  দেওয়ার জন্য আজ রোববার লটারি হবে  রাজউকের এই প্রকল্পে বরাদ্দ পেয়ে যাঁরা চারটি কিস্তির টাকা পরিশোধ করেছেন তাঁদের নিয়েই লটারি অনুষ্ঠিত হবে ,surprise
উত্তরাঞ্চলের অন্যতম বড় সবজির পাইকারি মোকাম বগুড়ার মহাস্থান হাটে সবজির বাজার এখন বেশ চড়া  হাটে শীতের নতুন সবজি উঠলেও তা নিম্ন আয়ের মানুষের পক্ষে কেনা কঠিন ,sadness
উত্তরাঞ্চলের ভিলার কটার শহরের কাছে সম্প্রতি  বছর বয়সী ওই নারীর লাশ পাওয়া যায়  জঙ্গলে নিজের কুকুর নিয়ে হাঁটতে যান ওই নারী  পরে কুকুরের আক্রমণের শিকার হন তিনি  তবে এখনো জানা যায়নি কোন কুকুর তাঁকে আক্রমণ করেছিল ,fear
উত্তুরে হাওয়াকে ভয় পাই  জৈষ্ঠ্যমাসে ভয় পাই ঘামকে ,fear
উদীত রবির প্রথম আলো দূর করবে সকল কালো  মেটবে মন আনন্দধারায় সবাই হবে বাধনহারা  দিনটি হক তোমার তরে  মন ভরে উঠুক খুশির ঝরে ,joy
উদ্দেশ্যের সূক্ষ্ম তারতম্যের কারণে সাধারণ একটি জায়গা নিমিষেই অসাধারণ হয়ে উঠতে পারে  জীবনের অপার স্নিগ্ধতা আর বৈচিত্র্য এখানেই ,surprise
উদ্ভাবনী তরুণদের জন্য আয়োজিত ডিজিটাল ব্যবসায়িক পরিকল্পনার প্রতিযোগিতা বাংলালিংক ইনোভেটর্স এর তৃতীয় আসরের বিজয়ীদের নাম ঘোষণা করা হয়েছে  বাংলাদেশের অন্যতম ডিজিটাল সেবাদাতা প্রতিষ্ঠান বাংলালিংক উদ্ভাবনী তরুণদের নতুন পরিকল্পনা  নতুন উদ্যোগ ও নতুন সৃষ্টিতে উৎসাহ দিতে এই প্রতিযোগিতার আয়োজন করে আসছে ,surprise
উদ্ভাবনের মাধ্যমে জীবনযাপনের রূপান্তর  ট্রান্সফর্মিং লাইফ থ্রু ইনোভেশন  স্লোগান নিয়ে একই প্রাঙ্গণে নানা আয়োজনে চলবে বেসিস সফটএক্সপো  ডিজিটাল বাংলাদেশকে এগিয়ে নিয়ে যাওয়ার সব ধরনের হাতিয়ার পাওয়া যাবে এই মেলায়,joy
উদ্যোগটির পরিসর অত্যন্ত ছোট  কিন্তু চেতনাগত দিক থেকে এর তাৎপর্য অনেক বেশি  গ্রামাঞ্চলের সাধারণ মানুষকে ঠিকমতো বোঝাতে পারলে তাঁরা যে মহৎ কোনো কাজে স্বতঃস্ফূর্তভাবে অংশ নেন  এ উদ্যোগের মধ্য দিয়ে তা স্পষ্ট হয়েছে,surprise
উনার ঋণ আসলে দুনিয়ার কোনকিছুর বিনিময়ে শোধ করা যাবে না  আল্লাহ উনাকে জান্নাতে উত্তম প্রতিদান দান করুন আমিন ,joy
"উনার কথা শুনে আমরা পুরাই অবাক যেএত জোরে শব্দ
হলো আর আমাদের বাড়ির পাশের প্রতিবেশী কিছুই শুনতে পেল না    ",surprise
উনি  খারপ  বুজলাম  উনি  জগন্ন  ঠিক  আছে    বাট  সবাই   যেভাবে  ট্রল করতেসে  এটা  কোন  ধরণের  সভ্যতা   আপনারাও  উনার  মতো ,disgust
উনি আমাকে আমার পাসপোর্ট নাম্বার জিজ্ঞেস করলেন  আমি বলা শুরু করলাম   একো চার্লি     আর উনি আমাকে থামিয়ে দিয়ে অবাক হয়ে বললেন   আপনি নেটো ফোনেটিক এ্যালফাবেট জানেন  ,surprise
উনি আম্মুকে নিয়ে যেতে পারবে না কেন  আর এই সিম্পল জিনিসটা বলারই বা কি আছে  উনিতো কোনো পুরুষও নিয়ে যান নি  নিয়ে গেছেন উনার মা কে ,disgust
উনি একজন ডাক্তার হয়েও একটা সরকারী এম্বুল্যান্স উনার নসিবে ছিলো না আমাদের কী হবে ,fear
উনি একজন মেডিসিন কোম্পানির বলার পরেও ব্যাপক পিটিয়েছেন  এটা পরিষ্কার অন্যায়    আর হ্যা দালালি করতে এসো না ,disgust
উনি দরজা বন্ধ করে পড়েন  ছেলে ডাকে  মা মা আর দরজায় নরম হাতের আলতো শব্দ করে  চোখে পানি নিয়েও তিনি দরজা খোলেন না ,sadness
উনি দিনের পর দিন করোনা রোগীর সংখ্যা নিয়ে ডাহা মিথ্যা কথা বলে যাচ্ছেন  মিথ্যা তথ্য দিয়ে দেশের জনগণকে গাধা বানানোর চেষ্টা করে যাচ্ছেন  যেকোনো সচেতন নাগরিকই এতে তার উপর রুষ্ট হবেই ,disgust
উনি বিরক্ত বোধ করলেন তারপর আবার বললেন এটাই যদি আপনার একমাত্র জরুরী কথা হয়ে থাকে তবে আমি রাত্রে আপনার এখানে থাকার কোন প্রয়োজন দেখছি না ,disgust
উনি যেভাবে কথা বলতেছে মনে হয় উনি জনগনের বিপুল পরিমান ভোট পেয়ে ক্ষমতায় এসেছেন  নির্লজ্জ কোথাকার,anger
উনি যেভাবে কথা বলতেছে মনে হয় উনি জনগনের বিপুল পরিমান ভোট পেয়ে ক্ষমতায় এসেছেন  নির্লজ্জ কোথাকার,disgust
উনি হল থেকে যাওয়ার আগে নিচুস্বরে আমার নাম জানতে চাইলেন  নাম শুনে বল্লেন পারভীন নামটা নাকি উনার খুব পছন্দ ,joy
উনিই আমাকে শুধু ভালোবাসতেন যখন বুঝতে শিখি তখন উনি মারা জান ভাগ্যটা আমার এতই খারাপ যে কারো ভালোবাসাই আমার কপালে নেই ,sadness
উপজেলা নির্বাহী কর্মকর্তা ইকবাল হোসেন বলেন  বাজারে লবণের ঘাটতি নেই  গুজব ছড়িয়ে কেউ বেশি দামে বিক্রি অথবা ব্যবসায়ীরা কৃত্রিম সংকট সৃষ্টি করলে ব্যবস্থা নেয়া হবে  ইতোমধ্যে কৃত্রিম সংকট সৃষ্টির অভিযোগে এক ডিলারকে আটক করা হয়েছে ,disgust
উপন্যাসের নামচরিত্র ডরিয়ান গ্রে আদতে একজন অত্যন্ত স্বার্থপর ব্যক্তি  নিজের সৌন্দর্য সম্পর্কে অবগত হবার পর থেকে সে যেমন স্বেচ্ছাচারী জীবন কাটায়  তেমনই নিজের কোনো কাজের জন্য দায় স্বীকার করতে রাজি না সে ,disgust
উপরে মানুষ বসে আছেন  ইয়া রব উঠায়ে নেও আমাকে যাবতীয় গরু গাধা রামছাগলের সম্মিলিত সমাবেশ,disgust
উপস্থাপক কে শুদ্ধ বাংলা বলতে শিখিয়ে পাঠান  বুড়ো বয়সে এত নেকা উচ্চারণ কেনো ,disgust
উপস্থাপিকা যে নুরু বিরোধী এটা তার কথায় স্পষ্টভাবেই প্রমাণিত ,anger
উফ ভাই আপনার ভিডিও দেখতে এতো মজা কি যে বলবো❤❤❤এগিয়ে যান ভাই এমন মুভির অস্কার পাওয়া উচিৎ  যেমন এডিটিং তেমন এক্টিং,joy
"উফ্ সত্যিই তুমি অসাধারণ গুরু      
আর কিচ্ছু মনে আসছে না আপাতত  অনেক দিন বাদে দারুণ লাগলো  দারুণ লাগল   দারুউউউন লাগল  জিও    ",joy
উহান শহরের ভাইরাস উপদ্রব এলাকায় ডিউটিরত এক ট্রাফিক পুলিশকে খাবার দেয়া হল ড্রোনের সাহায্যে  ড্রোন আকাশ থেকে নেমে খাবারের প্যাকেট রেখেই ফিরতি উড়াল দিল  তার কাছে সশরীরে খাবার নিয়ে যাওয়ার মত কেউ নেই  বস  সহকর্মী  সহচর বা অনুচর কেউ দেখা করছে না ,sadness
